Data Source	World Development Indicators																																																											
																																																												
Last Updated Date	11/14/2018																																																											
																																																												
Country Name	Country Code	Indicator Name	1960	1961	1962	1963	1964	1965	1966	1967	1968	1969	1970	1971	1972	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017
India	IND	"Presence of peace keepers (number of troops, police, and military observers in mandate)"																																																										
India	IND	"Intentional homicides (per 100,000 people)"																																				4.36626278	4.395079846	4.352470695	4.473273534	4.233402404	4.87573767	4.610734582	4.469690045	4.000892223	4.128276621	3.941461758	3.881227606	3.845276037	3.842385573	3.773789604	3.774226545	3.819645912	3.758948904	3.588249344	3.660057954	3.390616482	3.223699409	
India	IND	"Intentional homicides, male (per 100,000 male)"																																									6.442736225	6.029143419	5.887917095	5.199984991	5.247267528	5.029322381	4.865755762	4.670325075	4.672067161	4.441220697	4.477722253	4.468984562	4.431415682	4.218435097	4.33395588	4.020842276	3.735951037	
India	IND	"Intentional homicides, female (per 100,000 female)"																																									3.191489295	3.08584631	2.944630829	2.711143019	2.924349538	2.77067692	2.821305807	2.956745611	2.948595749	3.054637596	3.016158004	3.119985761	3.034513522	2.909560581	2.93453301	2.712336184	2.672388764	
India	IND	"Internally displaced persons, total displaced by conflict and violence (number of people)"																																																		500000	650000	650000	1000000	526000	854000	612000	796000	806000
India	IND	"Internally displaced persons, new displacement associated with disasters (number of cases)"																																																	6662000	5304000	1411000	1503000	9110000	2145000	3428000	3655000	2400000	1346000
India	IND	"Internally displaced persons, new displacement associated with conflict and violence (number of cases)"																																																		33000	107000	53000	500000	64000	345000	1000	448000	78000
India	IND	Battle-related deaths (number of people)																														1002	2324	3149	3078	1503	1172	836	828	986	811	2025	2814	1154	1797	1512	1374	1382	1372	1084	1076	1115	1029	433	409	384	463	495	655	656
India	IND	Travel services (% of commercial service exports)																27.38565911	29.94523239	41.82193934	45.92425532	44.619402	54.24107393	48.51933685	42.0654867	37.00738595	23.5124677	27.40651118	36.88374387	41.11622001	37.82870289	35.40294648	33.80768063	37.54094335	46.90719379	42.88644718	37.67289311	38.16992133	39.43801302	32.3771334	26.64257619	21.48806371	21.58189629	19.03714516	16.22027781	18.8832971	16.34448444	14.45079782	12.48288028	12.44211352	11.19734832	12.04083511	12.42864333	12.83755429	12.39164273	12.371686	12.57876306	13.49411941	13.90978832	14.92431352
India	IND	Transport services (% of commercial service exports)																41.49789528	35.35906476	27.72933962	22.54361488	19.7062362	15.59772243	17.29731948	15.70603757	13.79390221	15.92124799	15.7367297	17.00629363	19.42871888	23.24609381	20.77006709	20.81392163	19.88012957	21.15607243	24.67372869	28.42211622	27.95135541	27.70127284	21.75914792	16.02111073	13.16458276	14.21030578	15.48953927	14.96982592	14.83576401	13.03295104	12.60740535	12.50842358	11.84061303	12.11739975	12.14527899	11.38683627	12.83317787	12.07116981	11.37552821	11.87445855	9.195539778	9.412084668	9.2600476
India	IND	High-technology exports (% of manufactured exports)																													4.068699519	4.200619334	3.943481192	4.692855613	4.046947719	4.248778709	4.783519764	5.804881032	6.872112979	6.538267884	5.619516933	5.742129277	6.255549228	6.970229303	6.237803011	5.947717493	5.998070281	5.803803052	6.072403224	6.403290331	6.777733191	9.093724449	7.180548755	6.8707993	6.632256486	8.073939853	8.586259881	7.517758047	7.129689474	
India	IND	High-technology exports (current US$)																													402149981	512079481	497829267	604228939	615240858	695836513	959201216	1351219574	1662488967	1685896198	1414828818	1679108273	2062488338	2286511142	2353666770	2710123490	3355934439	4139238100	4876300228	5997790337	7738414135	10728448006	10086626314	12870672544	12434267043	16693424357	17315676298	13750546786	13335887306	
India	IND	Commercial service exports (current US$)																719431435.7	954399067.1	1234259451	1496041252	1989156895	2861008079	2635210103	2828422272	3166884008	3127603094	3274386967	3135796919	3265849102	3718831247	4092077281	4609502443	4905450698	4893301119	5034394495	6031261039	6763272430	7179007360	8925527196	11066917256	14005992418	16031394226	16799112202	19125314435	23632701560	37747867269	51850802483	69165839663	86235067783	1.05669E+11	92484320177	1.16583E+11	1.37935E+11	1.45029E+11	1.48703E+11	1.56614E+11	1.55717E+11	1.61234E+11	1.83359E+11
India	IND	"Computer, communications and other services (% of commercial service exports)"																28.2252907	32.17143236	28.19435692	29.59238325	33.97326238	28.86843142	32.75444189	40.87317786	47.89496627	59.18720458	55.56925582	44.65388575	37.83652441	37.00579065	41.15067227	42.70349503	40.40512082	28.86881698	29.63186975	31.495703	31.36238085	29.93639835	43.29984852	55.25703398	63.64819387	60.88316145	61.97255757	63.94629393	63.00400943	67.48856614	68.92239348	69.9915422	70.05314464	71.14732274	70.26526637	69.65302575	67.92565343	70.29041687	70.52329097	70.48587461	72.60354028	72.20698616	72.02823201
India	IND	Export value index (2000 = 100)																					20.2588056	19.57394294	22.08125193	21.58539664	22.30180772	21.56609477	22.17818605	26.65900569	31.22632984	37.45106691	42.40065315	41.82891176	46.31388437	50.90126548	59.04250424	72.27585165	78.11620296	82.60660275	78.89936832	84.16066334	100	102.3164611	116.2123961	139.1313684	180.8632988	235.0581534	287.4226332	354.3206235	459.7251488	389.1255873	534.1083973	714.7484503	700.4084541	742.9281276	761.4417416	631.0724811	623.8952036	
India	IND	Merchandise exports to low- and middle-income economies within region (% of total merchandise exports)	5.550057099	4.810474537	4.620699583	4.193364207	5.414671632	5.140781108	4.751781918	3.513143142	3.937052933	4.607432931	4.60350475	4.097793204	6.511002084	8.070399632	4.066722517	4.439474522	3.614061659	3.733841958	4.548370299	4.426940889	3.87151811	3.301305668	2.552591329	2.839146946	4.000025664	3.429315962	3.191476427	3.038951158	2.967271688	3.47174155	3.060648758	3.585156347	3.914913015	4.046528646	4.279881233	5.107095674	5.168626868	4.780692665	4.98148679	4.158637033	4.292328367	4.668997544	5.168070686	6.427508194	5.885326851	5.426308713	5.192422169	5.758312668	5.084433078	4.519068447	5.001390722	4.486541689	4.996445091	5.238506915	6.447890062	6.646334834	6.479652328	
India	IND	Merchandise exports by the reporting economy (current US$)	1313500000	1382400000	1389400000	1576300000	1691700000	1651500000	1599400000	1605400000	1747500000	1828350000	2024110000	2108940000	2437720000	2957970000	3891340000	4364030000	5017900000	6024090000	6625450000	7678440000	8440100000	6826390000	8271359993	7857421481	8230249870	8265208692	9135050552	10797330556	13191867383	15835741000	17811164694	17870183000	19229717290	20987424487	24192531185	30534380000	32322363009	34622075000	33665150000	35921625000	42463550014	43182526462	50333488279	60931347183	75045790271	97898384148	1.20156E+11	1.53349E+11	1.95055E+11	1.65188E+11	2.22907E+11	3.07044E+11	2.97197E+11	3.1509E+11	3.17719E+11	2.66163E+11	2.61862E+11	
India	IND	"Merchandise exports by the reporting economy, residual (% of total merchandise exports)"	8.67148839	9.714988426	11.73168274	12.90997906	15.96027664	18.57705117	19.06965112	18.32565093	18.58655222	20.57319441	20.96674588	20.56198849	21.19972761	18.64690987	18.4000884	16.27624008	14.67307041	18.26881736	15.81673698	15.12156115	21.76040568	26.95582878	27.8695715	22.06706126	22.34323426	24.65061728	22.0478019	17.92623915	19.49959527	4.363761696	25.39821657	16.2732357	9.104860875	6.241308874	5.61520582	7.654060767	4.701402672	1.294549792	0.680377185	0.331694348	3.339040178	4.961865605	1.568074989	0.460327336	0.437386983	0.273159378	0.234538551	0.251288139	1.815115173	2.766700479	1.36366215	4.917767906	1.623468905	3.656230249	0.970020028	0.853799319	0.900029758	
India	IND	Merchandise exports to low- and middle-income economies in Sub-Saharan Africa (% of total merchandise exports)	4.156832889	5.309606481	4.498344609	3.34961619	3.115209553	3.336360884	3.326247343	3.251526099	3.462088698	3.096781251	4.701819565	6.1552249	4.385245229	2.89793338	3.909964177	4.634477765	3.713904223	4.174406425	4.219939778	3.822911946	4.236324214	4.745260672	3.314545543	2.67481441	1.865224342	1.672693917	1.713011867	1.659383086	1.672562281	0.386398085	1.710766557	2.349153335	2.916315786	2.630076722	3.10121605	4.236896246	4.24654206	4.321448093	4.877893014	4.385241481	4.020624725	4.626458637	4.646380257	4.661850577	4.912935538	4.988238835	6.111694122	6.73864241	6.370744542	5.968406942	6.356339365	6.378283669	7.679068514	8.205887313	9.0768986	8.110697886	7.137621	
India	IND	Merchandise exports to low- and middle-income economies in South Asia (% of total merchandise exports)	5.550057099	4.810474537	4.620699583	4.193364207	5.414671632	5.140781108	4.751781918	3.513143142	3.937052933	4.607432931	4.60350475	4.097793204	6.511002084	8.070399632	4.066722517	4.439474522	3.614061659	3.733841958	4.548370299	4.426940889	3.87151811	3.301305668	2.552591329	2.839146946	4.000025664	3.429315962	3.191476427	3.038951158	2.967271688	3.47174155	3.060648758	3.585156347	3.914913015	4.046528646	4.279881233	5.107095674	5.168626868	4.780692665	4.98148679	4.158637033	4.292328367	4.668997544	5.168070686	6.427508194	5.885326851	5.426308713	5.192422169	5.758312668	5.084433078	4.519068447	5.001390722	4.486541689	4.996445091	5.238506915	6.447890062	6.646334834	6.479652328	
India	IND	Merchandise exports to low- and middle-income economies in Middle East & North Africa (% of total merchandise exports)	3.989341454	3.949652778	4.073700878	3.774662184	3.753620618	5.292158644	4.8893335	4.484863585	4.377682403	5.441518309	6.346987071	4.763530494	4.480005907	3.401995287	8.419207779	13.5397786	7.448932821	6.294062672	5.327939989	4.602236913	4.541415386	5.140345043	3.256110727	4.581777468	3.690562884	3.202083926	1.944000288	1.878747788	1.716352791	0.842170884	1.868941923	2.355711746	3.964787165	3.963963318	1.813908262	1.666056426	2.244465062	2.135848299	2.332753604	2.177309629	2.503087951	3.342766909	3.569228882	3.690291935	3.915521941	3.614792609	4.040636613	4.311285902	4.170891052	4.077731011	3.772998064	3.236454754	3.983904381	4.48582587	4.403225924	3.678745753	3.290255877	
India	IND	Merchandise exports to low- and middle-income economies in Latin America & the Caribbean (% of total merchandise exports)	2.489531785	2.018229167	2.562257089	2.131573939	1.80292014	1.368452922	0.600225084	0.355051701	0.234620887	0.283862499	0.377943886	0.769580927	0.391759513	0.302910442	0.676373691	0.395735135	0.37246657	0.218456232	0.245568226	0.219445617	0.341228185	0.329163731	0.134515146	0.091113809	0.110140508	0.166193396	0.216839139	0.164273428	0.327056305	0.291397794	0.387331784	0.598466171	0.766201831	0.935471421	1.130965627	0.929083872	1.058509042	1.371018346	1.464125364	1.480654063	1.828921526	1.954883459	2.113102609	1.685808021	2.237863752	2.590828061	2.852236455	3.130533278	3.073523929	2.344097191	2.977310957	3.23585824	3.836744019	3.549611738	4.47438317	3.740658713	3.582934637	
